input_text,aspect,polarity,extracted_nouns
weather nice try snag outside table,ambience,neutral,"['weather', 'table']"
place people pay lot mediocre food noise chance fellow bridge tunnel folks,food,neutral,"['food', 'noise', 'people', 'lot', 'place', 'folks', 'tunnel']"
food wonderful tasty filling service professional friendly,service,positive,"['food', 'service', 'filling']"
exception lemon salad much pepper eyes started watering food decent great,food,conflict,"['food', 'lemon', 'pepper', 'exception', 'eyes']"
highly highly highly recommended,anecdotesmiscellaneous,positive,[]
end youre left mild broth noodles slurp cup,food,positive,"['cup', 'noodles', 'broth']"
wine list also really nice,food,positive,"['wine', 'list']"
tasty expensive,food,positive,[]
place real empty first sunday ever opened,ambience,conflict,[]
care food ambience,ambience,neutral,"['ambience', 'food']"
money went interior decoration none went chefs,food,negative,"['chefs', 'money', 'none', 'decoration']"
never eaten restaurant however upon reading reviews got take last week,anecdotesmiscellaneous,neutral,"['week', 'reviews', 'restaurant']"
live upper manhattan siam square place thia food,anecdotesmiscellaneous,positive,"['food', 'siam']"
service fine allow enjoy view,ambience,positive,"['fine', 'service', 'view']"
600 ever paid even waving magic wand ever get us back repeat performance,price,negative,"['wand', 'repeat', 'performance']"
deliveries often take hour prices higher pizzerias area,service,negative,"['deliveries', 'pizzerias', 'area', 'hour', 'prices']"
large place cute cozy,ambience,conflict,['place']
wasnt thrilled wait line thirty minutes guess thats price pay popular place,anecdotesmiscellaneous,neutral,"['minutes', 'wait', 'price', 'place', 'line']"
word advice save room pasta dishes never leave youve tiramisu,food,positive,"['room', 'tiramisu', 'dishes', 'advice', 'word', 'pasta']"
great food great lay awesome service,ambience,positive,"['food', 'service']"
evening place attracted well dressed ny crowd,anecdotesmiscellaneous,neutral,"['place', 'crowd', 'evening']"
first time sushi outstanding second time little bland,food,conflict,"['time', 'sushi']"
waitstaff friendly,service,positive,['waitstaff']
sushi also great,food,positive,['sushi']
husband go spend 6000 lobster tails ummmmm need say cant say place youll never forget never go youll miss meal life time,price,positive,"['husband', 'lobster', 'meal', 'time', 'tails', 'life', 'place']"
moved neighborhood weve trying west village sushi restaurants,anecdotesmiscellaneous,neutral,"['village', 'neighborhood', 'restaurants', 'sushi']"
way back nj since ny figured grab food,anecdotesmiscellaneous,neutral,"['food', 'way']"
price reasonable although service poor,price,positive,"['price', 'service']"
far favorite restaurant brooklyn,anecdotesmiscellaneous,positive,['restaurant']
good drink,food,positive,['drink']
scalina fedeli reminded service integral fine dining,service,positive,"['service', 'dining']"
food expensive spent 160 lunch two extremely tasty,food,positive,"['food', 'lunch']"
please thinking go stay wait wont disappointed,anecdotesmiscellaneous,conflict,['wait']
pretty much full fondue appetizer,anecdotesmiscellaneous,positive,['appetizer']
complained small tip,service,negative,['tip']
restaurant doesnt try anything except serve great food great service pleasant atmosphere,service,positive,"['food', 'atmosphere', 'service', 'restaurant']"
theyre better taiwanese restaurants located flushing queens,anecdotesmiscellaneous,neutral,"['queens', 'restaurants']"
establishment scores big points presentation style,ambience,positive,"['presentation', 'establishment', 'style', 'points']"
lahore great place duck latenight need really tasty food cheap youll likely trouble finishing amount food get four dollars,food,positive,"['food', 'need', 'amount', 'trouble', 'duck', 'dollars', 'place']"
service fine allow enjoy view,service,positive,"['fine', 'service', 'view']"
dont judge place prima facie try believe home away home literate heart,anecdotesmiscellaneous,positive,"['home', 'place', 'heart']"
portions large servers always surprise us different starter,service,positive,"['portions', 'servers', 'starter']"
long wait table outside little hot sun anyway insde table nice,service,conflict,"['table', 'sun']"
big soft well good lunch food,food,positive,"['lunch', 'food']"
dining bog twenty times official,anecdotesmiscellaneous,neutral,"['bog', 'official', 'times']"
music best among indian restaurants visited,ambience,positive,"['restaurants', 'music']"
went eat jekyll hyde restaurant friday night really enjoyed fun atmosphere good food,anecdotesmiscellaneous,positive,"['night', 'atmosphere', 'fun', 'food']"
ok us growing village nyc spoiled plethora restaurants stay open late,anecdotesmiscellaneous,neutral,"['village', 'plethora', 'restaurants']"
fact appears going go postal moment,service,negative,"['moment', 'fact']"
narrow corridor leads tiny space three tiny white tiled counters great deal mess stacks bottles cans small counter holding 1214 entrees,ambience,negative,"['entrees', 'counter', 'mess', 'stacks', 'cans', 'space', 'corridor', 'deal', 'counters']"
nothing better buying snapple 325,price,positive,[]
although looking regular lettuce walnuts salads got great,food,positive,"['lettuce', 'salads', 'walnuts']"
recommend heartland brewery,anecdotesmiscellaneous,negative,"['brewery', 'heartland']"
reality maximize potential diners still taking phone reservations reallocating tables waiting lobby,service,negative,"['reservations', 'reality', 'lobby', 'tables', 'diners', 'phone']"
simply amazing unique tasty best didnt break bank,food,positive,"['bank', 'best']"
lahore great place duck latenight need really tasty food cheap youll likely trouble finishing amount food get four dollars,price,positive,"['food', 'need', 'amount', 'trouble', 'duck', 'dollars', 'place']"
try spicy shrimp appetizer greatest value world worth price lamb vindaloo great,price,conflict,"['lamb', 'shrimp', 'vindaloo', 'price', 'world', 'value', 'appetizer']"
go volare 1st class service terrific food,service,positive,"['food', 'class', 'volare', 'service']"
meal management came checked us even bought us round drinks,service,positive,"['management', 'drinks', 'meal']"
great sushi experience,food,positive,"['experience', 'sushi']"
seated promptly reservations however service slow,service,conflict,"['service', 'reservations']"
many thai places city far toons 1,anecdotesmiscellaneous,positive,"['toons', 'places', 'city']"
really large portions,food,positive,['portions']
go mondays prix fixe experience food comparable blue ribbon,food,neutral,"['ribbon', 'mondays']"
go eat many different restaurants one place go try,anecdotesmiscellaneous,positive,"['restaurants', 'place']"
dont see go wrong,anecdotesmiscellaneous,positive,[]
recommend thai popcorn,food,positive,['popcorn']
avoid costs,anecdotesmiscellaneous,negative,['costs']
highly recommend,anecdotesmiscellaneous,positive,[]
menu prix fixe prepared spend least 60 per person well worth itsuperb food,price,negative,"['food', 'person']"
real dissapointment,anecdotesmiscellaneous,negative,['dissapointment']
ive never treated rudely,service,negative,[]
gimmicks food speaks freshness preparation,food,positive,"['food', 'freshness', 'preparation']"
two people party felt like something else volare immediately obliged two great dishes regular menu,service,positive,"['people', 'menu', 'party', 'dishes']"
spent 200 place left hungry disappointed,anecdotesmiscellaneous,negative,['place']
pams special fried fish amazing,food,positive,"['pams', 'fish']"
location ambience ok food makes,food,positive,"['location', 'food', 'ambience']"
atmosphere great looking laid back scene inexpensive way spend weekend afternoon,price,positive,"['atmosphere', 'way', 'scene', 'weekend', 'afternoon']"
also limited seating substantial wait getting food peak times,ambience,negative,"['food', 'seating', 'times', 'peak', 'wait']"
lived chelsea two years never noticed restaurant,anecdotesmiscellaneous,neutral,"['chelsea', 'years', 'restaurant']"
coming neighborhood spot years,anecdotesmiscellaneous,neutral,"['spot', 'neighborhood', 'years']"
would highly recommend ninas anyone wants romantic dinner heart warming surrounding filled candles family pictures,anecdotesmiscellaneous,positive,"['pictures', 'dinner', 'family', 'heart', 'candles']"
want something really different try jekyll hyde,anecdotesmiscellaneous,positive,[]
suggest ask seated upstairs looking little cozy,ambience,positive,[]
wonder delicious meal little money,food,positive,"['money', 'meal']"
stay away two specialty rolls menu though much avocado rice fill right quick,food,negative,"['menu', 'rolls', 'specialty', 'rice', 'avocado']"
dont toaster strange,service,negative,[]
theres nice quiet small enough 6,ambience,conflict,[]
wait staff friendly overly efficient,service,positive,['staff']
back garden sitting area pleasant see personal herb garden,ambience,positive,"['garden', 'area', 'herb']"
first 2 courses good chocolate sampler rich dessert wine far sweet,food,conflict,"['dessert', 'chocolate', 'sampler', 'wine', 'courses']"
helps know order,anecdotesmiscellaneous,neutral,['order']
would go back,anecdotesmiscellaneous,positive,[]
often go eat family,anecdotesmiscellaneous,neutral,['family']
20 gets unlimited sushi high quality even took friend japan said one best sushi places us,price,positive,"['friend', 'sushi', 'quality']"
pizza delicious use fresh mozzarella instead cheap frozen shredded cheese common pizzarias,food,positive,"['mozzarella', 'pizzarias', 'cheese']"
try best give accurate description establishment visited,anecdotesmiscellaneous,neutral,"['description', 'establishment']"
husband said couldve eaten several portion fine even exclaimed french fries best,food,conflict,"['husband', 'portion', 'fries']"
ate kai disapointed,anecdotesmiscellaneous,negative,[]
liked much always make point dine visit new york,anecdotesmiscellaneous,positive,"['point', 'visit', 'dine']"
staff attentive smiles faces,service,positive,"['smiles', 'staff']"
wonderful place stand points especially value ofr money,price,positive,"['ofr', 'place', 'money', 'points']"
fact leaving place saw two people looking menu couldnt help telling food horrible,anecdotesmiscellaneous,negative,"['food', 'menu', 'people', 'fact', 'place']"
word wise hoboken health inspector clued findings cleanest restaurant town,anecdotesmiscellaneous,positive,"['town', 'inspector', 'findings', 'health', 'word', 'restaurant']"
shell small fortune,price,negative,['fortune']
emilio owner often sitting front table greeting guests come go,service,positive,"['table', 'owner', 'guests']"
moment enter till moment walk friendly helpful staff fantastic,service,positive,"['moment', 'staff']"
food mostly made scratch fresh well prepared,food,positive,"['food', 'scratch']"
restaurant used pretty decent,anecdotesmiscellaneous,negative,['restaurant']
place really trendi forgotten important part restaurant food,food,negative,"['food', 'place', 'restaurant', 'part']"
little inconsistency either way pizzas really good,food,conflict,"['inconsistency', 'way', 'pizzas']"
service excellent food excellent entire experience cool,food,positive,"['food', 'experience', 'service']"
downside youre ordering delivery guys major attitude,service,negative,"['guys', 'delivery', 'attitude']"
also dont want sit certain table dont,service,positive,['table']
could without cigar smoke,ambience,negative,"['cigar', 'smoke']"
delicious food excellent service pretty atmosphere make great choice dinner 599 lunch buffet makes even better choice lunch,service,positive,"['food', 'atmosphere', 'buffet', 'dinner', 'choice', 'lunch', 'service']"
usually 3 vs 4 items per dish,food,neutral,"['items', 'dish']"
food service okay,service,neutral,"['food', 'service']"
reality felt gotten air france 8th district paris,ambience,positive,['reality']
husband ate reading reviews well hobokenicom,anecdotesmiscellaneous,neutral,"['husband', 'reviews']"
hits spot every time,anecdotesmiscellaneous,positive,"['spot', 'time']"
cool bar great food tons excellent beer,food,positive,"['tons', 'food', 'bar', 'beer']"
someone appreciates simplicity elegance wonderfully presented tasting seafood vegetables regardless portion size kai place,food,conflict,"['portion', 'elegance', 'vegetables', 'simplicity', 'seafood']"
scallops appetizer delicious sauce wonderful,food,positive,"['sauce', 'appetizer']"
terrific meal server guided us toward nice wine price range instead allowing us purchase similarly priced wine wasnt good,food,positive,"['meal', 'range', 'price', 'server', 'wine']"
sometimes little cramped get little warm hello nyc,ambience,conflict,[]
pizza way expensive,price,negative,"['way', 'pizza']"
ask three times finally came back dish ive requested,service,negative,"['dish', 'times']"
decor dark cool soothing foods presentation spectacular considering low prices,ambience,positive,"['foods', 'presentation', 'prices', 'decor']"
thats saying lot,anecdotesmiscellaneous,neutral,['lot']
everything good im eater,food,positive,['eater']
prices high actually think get away charging prices terrible food service,food,negative,"['food', 'prices', 'service']"
seriously place kicks ass,anecdotesmiscellaneous,positive,['ass']
food great authentic,food,positive,['food']
atmosphere noisy waiters literally walking around things fast,service,conflict,"['things', 'atmosphere', 'waiters']"
many good restaurants uws dont need overpriced food absurdly arrogant waitstaff dont recognize work glorified diner clumsy service management doesnt care,price,negative,"['restaurants', 'food', 'waitstaff', 'management', 'diner', 'service', 'work']"
real kicker menu however beef cubes chicken chili lemon grass,food,positive,"['lemon', 'beef', 'menu', 'cubes', 'chicken', 'kicker', 'chili', 'grass']"
otherwise place great service prices nice friendly atmosphere,service,positive,"['prices', 'atmosphere', 'service']"
eaten saul many times food always consistently outrageously good,anecdotesmiscellaneous,neutral,"['food', 'times']"
service good food wonderful,service,positive,['food']
ive many thai restaurants manhattan toons far best thai food ive except moms course,food,positive,"['restaurants', 'moms', 'toons', 'food']"
tanks chinatown restaurants display lurking myriad sadlooking marine life murky waters tanks pings clear glass healthylooking creatures yet know part dim sum lovers brunch,food,positive,"['restaurants', 'lovers', 'chinatown', 'part', 'creatures', 'display', 'waters', 'life', 'tanks', 'sum', 'glass']"
look foward trying ruben upon returning,anecdotesmiscellaneous,positive,['ruben']
far chinese desserts place know ny anywhere close northeastern america serves desserts frog jelly couple varieties pig feet ginger simmered black vinegar,food,positive,"['feet', 'jelly', 'couple', 'ginger', 'vinegar', 'varieties', 'pig', 'place', 'frog', 'desserts']"
reservations 9pm seated 1015pm,service,negative,"['pm', 'reservations']"
hey anything better decent vegetarian selection astoria,anecdotesmiscellaneous,neutral,['selection']
excellent experience,anecdotesmiscellaneous,positive,['experience']
im england harus best nyc,anecdotesmiscellaneous,positive,[]
loved would go,anecdotesmiscellaneous,positive,[]
drawback wont toast bagel dont make eggs bagel,service,negative,"['drawback', 'bagel', 'eggs']"
outoftowners get big thrill location,anecdotesmiscellaneous,positive,"['location', 'outoftowners', 'thrill']"
coconut rice good,food,positive,"['coconut', 'rice']"
rice poor quality cooked badly hard,food,negative,"['quality', 'rice']"
found service average could 13 us,service,positive,"['service', 'average']"
try spicy shrimp appetizer greatest value world worth price lamb vindaloo great,food,positive,"['lamb', 'shrimp', 'vindaloo', 'price', 'world', 'value', 'appetizer']"
make best pizza ny maybe anywhere,food,positive,['pizza']
live new jersey whenever go new york city buy bagels eat hot freeze told call order theyd bring car wouldnt look parking,service,positive,"['order', 'bagels', 'freeze', 'car', 'parking', 'call']"
makes restaurant special authentic sichuan cooking one nyc offers authentic chongqing hotpot,food,positive,"['hotpot', 'restaurant', 'chongqing']"
dinner brunch,anecdotesmiscellaneous,neutral,"['dinner', 'brunch']"
exotic food beautifully presented delight delicious combinations,food,positive,"['food', 'combinations']"
total hipsterwannabe attitude otherwise sweet spot,ambience,positive,"['spot', 'hipsterwannabe', 'attitude']"
great pizza fantastic service,food,positive,"['service', 'pizza']"
food tasty portion sizes appropriate,food,positive,"['food', 'portion', 'sizes']"
lunch special asbolute steal,price,positive,"['lunch', 'asbolute', 'steal']"
theres way,anecdotesmiscellaneous,neutral,['way']
excellent dumplings served amid clean chic decor,ambience,positive,"['dumplings', 'decor']"
nice ambiance nice little bar good bartender francois good service,service,positive,"['ambiance', 'bar', 'service', 'bartender']"
food fantastic,food,positive,['food']
service also horrible ambience great,service,negative,"['ambience', 'service']"
true feel like scene goodfellas,ambience,neutral,['scene']
flavors fresh pretty inobtrusive nothing flashy,food,positive,['flavors']
bring service notch offerng complementary amuse bouche tables gave us small dessert celebration,service,positive,"['dessert', 'celebration', 'tables', 'service']"
yes might wait reservations,service,negative,['reservations']
husband thougt would great go jekyll hyde pub anniversary surprise fantastic,anecdotesmiscellaneous,positive,['husband']
ambience romantic definitely good place bring date,ambience,positive,"['ambience', 'date', 'place']"
however go ambience consider food companion trip across world,ambience,positive,"['food', 'ambience', 'trip', 'companion', 'world']"
leon east village gem casual hip well prepared basic french bistro fare good specials warm lively atmosphere,ambience,positive,"['atmosphere', 'hip', 'gem', 'specials', 'bistro']"
restaurant dark attractive spot lights shining putting worst light possible reaching sunglasses,ambience,negative,"['spot', 'lights', 'sunglasses', 'restaurant']"
corned beef pastrami excellent much less fatty big tourist places around times square,food,positive,"['beef', 'tourist', 'pastrami', 'times', 'fatty', 'places']"
never cheescake like,food,positive,[]
youre familiar cuisine may encounter problems ordering sure bring plenty cash dont accept credit cards,anecdotesmiscellaneous,negative,"['credit', 'cuisine', 'cash', 'problems', 'cards']"
granted space smaller best service find even largest restaurants,service,positive,"['restaurants', 'space', 'service']"
staff accomodating ambiance exciting yet relaxed food world,service,positive,"['ambiance', 'food', 'world', 'staff']"
restaurant wonderful place go many times reasonably priced,anecdotesmiscellaneous,positive,"['place', 'restaurant', 'times']"
place tourists someone never dined bay ridge,anecdotesmiscellaneous,neutral,"['place', 'tourists']"
check secret back room,ambience,positive,['room']
service extraordinary yet overbearing decor brings taste trendy soho queens,service,positive,"['queens', 'service', 'decor', 'taste']"
also thin gets cold quickly filling,food,negative,[]
staff also attentive friendly,service,positive,['staff']
first time went completely taken live jazz band atmosphere ordered lobster cobb salad,food,neutral,"['jazz', 'atmosphere', 'time', 'salad', 'band']"
meanwhile bartender continued pour champagne reserve finished bottle enjoyed amuse turnip soup pureed basil gratis,service,positive,"['bottle', 'soup', 'turnip', 'champagne', 'bartender']"
kind attentive wait staff,service,positive,"['wait', 'staff']"
theyve done really nice job offering typical pizzeria faves plus terrific specials like godmother pizza sort traditional flat pizza olive oilbrushed crust less tomato sauce usual,food,positive,"['job', 'pizzeria', 'sauce', 'faves', 'specials', 'tomato', 'crust', 'olive', 'pizza']"
hot dogs cold middle buns stale,food,negative,"['dogs', 'buns']"
desserts group tried got favorable reviews,food,positive,"['group', 'reviews', 'desserts']"
bit breezy mezzanine wind coming tracks,ambience,negative,"['wind', 'tracks', 'bit']"
got sashimi order could believe small portions,food,negative,"['portions', 'order']"
service great food fantastic,food,positive,['food']
went friends reccomendation,anecdotesmiscellaneous,neutral,"['friends', 'reccomendation']"
came cooked cheese almost non existant,food,negative,['cheese']
main hit whole grilled fish,food,positive,['fish']
sauces used also exciting,food,negative,['sauces']
cafe really nice comfortable outdoor chairs tables service could better,service,negative,"['service', 'tables', 'cafe', 'chairs']"
highly recommend visiting restaurant dinner drinks,anecdotesmiscellaneous,positive,"['dinner', 'restaurant', 'drinks']"
excellent service,service,positive,['service']
staff accomodating ambiance exciting yet relaxed food world,ambience,positive,"['ambiance', 'food', 'world', 'staff']"
course atmosphere lacking expect 24 hour bagel place anyways,ambience,negative,"['atmosphere', 'course', 'hour', 'bagel', 'place']"
isnt classical restaurant fare chef given new life old cuisine really innovative tasty dishes genuinely indian without heavy old restaurant burnouts,food,positive,"['dishes', 'burnouts', 'chef', 'fare', 'cuisine', 'life', 'restaurant']"
type person likes scared entertained great place go eat,anecdotesmiscellaneous,positive,"['place', 'type', 'person']"
usually packed good reason esp,anecdotesmiscellaneous,neutral,['reason']
recommend spot anyone enjoys fine cuisine reasonable prices,anecdotesmiscellaneous,positive,"['spot', 'prices', 'cuisine']"
even upon delivery juicy pork buns quite good,food,positive,"['delivery', 'buns', 'pork']"
one thing liked place never felt rushed pressured give table ot incoming guests,service,positive,"['guests', 'table', 'thing', 'ot', 'place']"
quick martini bar recommend jefferys mind blowing roast chicken go village,food,positive,"['village', 'roast', 'chicken', 'jefferys', 'bar', 'martini', 'mind']"
nobu sure great deal definitely leave feeling satisfied full,anecdotesmiscellaneous,positive,['deal']
food always tastes fresh served promptly,service,positive,['food']
never came back refill glasses,service,negative,"['refill', 'glasses']"
ok servers wander around little clueless theres enough servers crowd get fine make small effort get attention,service,conflict,"['servers', 'effort', 'attention']"
stick gulab jamun,food,positive,[]
tom kha soup pathetic,food,negative,[]
worth visiting 1st ave spot original store,anecdotesmiscellaneous,positive,['store']
live outside neighborhood dont bother,anecdotesmiscellaneous,negative,['neighborhood']
menu choices similar taste lacked flavor looked,food,conflict,"['flavor', 'menu', 'choices', 'taste']"
great way make money buy case snapple costco sell right outside 250,anecdotesmiscellaneous,neutral,"['buy', 'money', 'way', 'case']"
actually gave patroon another chance writing second visit even worse,anecdotesmiscellaneous,negative,"['patroon', 'chance', 'visit']"
haru serves fresh fish trendy modern ambiance prime location park avenue south friendly service,ambience,positive,"['park', 'fish', 'location', 'ambiance', 'avenue', 'service']"
one favorites though angry lobster cold lobster salad magnificent,food,positive,"['lobster', 'favorites', 'salad']"
table pot boiling water sunken surface get platters thin sliced meats various vegetables rice glass noodles,food,neutral,"['platters', 'meats', 'table', 'vegetables', 'noodles', 'rice', 'surface', 'water', 'pot', 'boiling', 'glass']"
like music blasted system isnt great want pay least 100 dollar bottle minimun youll love,price,negative,"['system', 'bottle', 'music', 'dollar', 'minimun']"
friends arrived yet,anecdotesmiscellaneous,neutral,['friends']
friend seattle went thursday night around 830,anecdotesmiscellaneous,neutral,"['night', 'friend']"
three strikes restaurant,anecdotesmiscellaneous,negative,"['strikes', 'restaurant']"
wasnt halfprice saturday night special tuesday night,anecdotesmiscellaneous,neutral,['night']
food great service even better,service,positive,"['food', 'service']"
place realy fresh sushi nice large menu japanese classic cuisine,food,positive,"['menu', 'place', 'sushi', 'cuisine']"
taxan delicious,food,positive,[]
chinese desserts known healthful benefits addition sweetness,food,positive,"['addition', 'benefits', 'sweetness', 'desserts']"
ciao bella,anecdotesmiscellaneous,neutral,[]
oh wait drinks also delightfully overpriced,price,negative,['drinks']
place really trendi forgotten important part restaurant food,anecdotesmiscellaneous,positive,"['food', 'place', 'restaurant', 'part']"
wonderful experience cant wait come back,anecdotesmiscellaneous,positive,['experience']
otherwise place great service prices nice friendly atmosphere,ambience,positive,"['prices', 'atmosphere', 'service']"
live thai way living,anecdotesmiscellaneous,neutral,['way']
still quibbles bill offset pouryourown measures liquers courtesey house,food,positive,"['bill', 'measures']"
order panang duck fantastic,food,positive,"['order', 'fantastic']"
service devine oysters sensual come price cant beat,price,positive,"['devine', 'price', 'oysters', 'come', 'service']"
good find restaurant owners imagination actually pulled like case,anecdotesmiscellaneous,positive,"['imagination', 'case', 'owners', 'restaurant']"
service excellent friendly attentive,service,positive,['service']
fun restaurant go,anecdotesmiscellaneous,positive,"['fun', 'restaurant']"
come family pizzeria owners im almost ashamed say pizza forninos blows families receipies away,food,positive,"['pizzeria', 'forninos', 'families', 'owners', 'family', 'receipies', 'pizza']"
decent thai food cute though bit dank little nolita hangout service terrible,service,negative,"['food', 'hangout', 'service', 'bit']"
glad luxury throw paying customers,anecdotesmiscellaneous,neutral,"['throw', 'customers', 'luxury']"
indoor cozy cute,ambience,positive,[]
better roof sutton place 19 year old interns jabbing ribs night,anecdotesmiscellaneous,positive,"['sutton', 'interns', 'year', 'ribs', 'night', 'place', 'roof']"
actually get 2 salads worth u take home add lettuce,food,negative,"['lettuce', 'salads']"
food tasty portioins tiny even high quality restaurant,food,negative,"['food', 'portioins', 'quality', 'restaurant']"
seriously doubt ever dine jimmys bronx matter jimmys uptown,anecdotesmiscellaneous,negative,[]
would highly recommend ninas anyone wants romantic dinner heart warming surrounding filled candles family pictures,ambience,positive,"['pictures', 'dinner', 'family', 'heart', 'candles']"
ive joya twice never go,anecdotesmiscellaneous,negative,[]
food average creme brulee awful sugar charred caramelized smelled kerosene,food,negative,"['kerosene', 'food', 'sugar', 'creme']"
staff isnt friendliest competent stickler service everything else place makes,service,negative,"['stickler', 'place', 'service', 'staff']"
ive lived ny 5 years place,anecdotesmiscellaneous,positive,"['years', 'place']"
might business counter give order food says love,food,positive,"['business', 'food', 'order', 'counter', 'love']"
great bagels made oldfashioned way,food,positive,"['bagels', 'way']"
first waitress completely unattentive 2 times saw herodd restaurant 6 tables got order wrong,service,negative,"['order', 'waitress', 'times', 'tables', 'restaurant']"
wish would change back,anecdotesmiscellaneous,negative,[]
although tables may closely situated candlelight foodquality service overcompensate,service,positive,"['overcompensate', 'candlelight', 'tables', 'foodquality', 'service']"
dinner menu diverse topnotch well,food,positive,"['topnotch', 'dinner', 'menu']"
people sichuan die chongqing hot pot chongqing biggest city sichuan became independent province,anecdotesmiscellaneous,positive,"['people', 'pot', 'province', 'city']"
unfortunately food outstanding everything else restaurant pits,food,positive,"['pits', 'food', 'restaurant']"
even visit manager wanted make sure enjoying,service,positive,['manager']
love thai noodles shrimp chicken coconut juice must,food,positive,"['coconut', 'chicken', 'juice', 'noodles']"
staff kind well trained theyre fast always prompt jump behind bar fix drinks know details every item menu make excelent recomendations,service,positive,"['details', 'item', 'menu', 'jump', 'recomendations', 'staff', 'bar', 'fix', 'drinks']"
cant believe people complain cheese sticks,anecdotesmiscellaneous,neutral,"['people', 'sticks', 'cheese']"
love spicy scallop roll boyfriend consistently gets sesame chicken,food,positive,"['scallop', 'chicken', 'boyfriend', 'sesame', 'roll']"
oh right probably say something nice,anecdotesmiscellaneous,neutral,[]
one vegetarian entree abbys treasure actually quite surprise delicious wintermelon covering assortment fresh mushrooms vegetables,food,positive,"['assortment', 'vegetables', 'surprise', 'mushrooms', 'wintermelon', 'entree']"
delicious food excellent service pretty atmosphere make great choice dinner 599 lunch buffet makes even better choice lunch,ambience,positive,"['food', 'atmosphere', 'buffet', 'dinner', 'choice', 'lunch', 'service']"
dinner take date huge dance floor probably one biggest youll see ny,ambience,positive,"['date', 'dinner', 'floor', 'dance']"
charge different prices time,price,negative,"['prices', 'time']"
drinks amazing half till 8pm,price,positive,"['pm', 'half']"
may bit packed weekends vibe good best french food find area,food,positive,"['food', 'vibe', 'area', 'weekends']"
live street place,anecdotesmiscellaneous,neutral,"['place', 'street']"
crowded loud cant even talk person next,ambience,negative,['person']
far favorite restaurant nyc wish affordable could go often,anecdotesmiscellaneous,positive,['restaurant']
secondly night place overwhelmed upper east side ladies perfume,ambience,negative,"['ladies', 'side', 'perfume', 'night', 'place']"
excellent alternative fast food joints ordering food slightly disappointing,anecdotesmiscellaneous,positive,"['food', 'joints']"
handle great place business dinner fun friends simply table 2,anecdotesmiscellaneous,positive,"['business', 'friends', 'dinner', 'place', 'fun']"
prices high actually think get away charging prices terrible food service,service,negative,"['food', 'prices', 'service']"
much reasonably priced,price,positive,[]
dim sum ok doesnt taste fresh little dishes dont look steamy hot also note lack chinese,food,negative,"['dishes', 'lack', 'sum']"
tasting menu unlike reviews felt enough food,anecdotesmiscellaneous,neutral,"['food', 'menu', 'reviews']"
true place cheap,price,negative,['place']
